Date and Time,ASTEP,ATIME,GAIN,LED Status,LED Intensity,Test,Seconds,Milliseconds,Type,F1 (Basic),F2 (Basic),F3 (Basic),F4 (Basic),F5 (Basic),F6 (Basic),F7 (Basic),F8 (Basic),Clear (Basic),NIR (Basic),Type,F1 (Raw),F2 (Raw),F3 (Raw),F4 (Raw),F5 (Raw),F6 (Raw),F7 (Raw),F8 (Raw),Clear (Raw),NIR (Raw),Measurement Type,,,,
2104/5/32 (Monday) 30:34:24,999,255,9,LED Status,LED Intensity,6,105,105135,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,3,3,3,1,10,0,0,385,1432,turbidity,,,,
2104/5/32 (Monday) 30:34:28,999,255,9,LED Status,LED Intensity,6,109,109123,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,3,3,4,2,10,2,1,385,1428,turbidity,,,,
2104/5/32 (Monday) 30:34:32,999,255,9,LED Status,LED Intensity,6,113,113112,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,3,3,2,1,10,0,0,383,1426,turbidity,,,,
2104/5/32 (Monday) 30:34:36,999,255,9,LED Status,LED Intensity,6,117,117100,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,2,3,4,0,9,1,0,384,1428,turbidity,,,,
2104/5/32 (Monday) 30:34:40,999,255,9,LED Status,LED Intensity,6,121,121088,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,4,3,3,1,9,1,0,386,1428,turbidity,,,,
2104/5/32 (Monday) 30:34:44,999,255,9,LED Status,LED Intensity,6,125,125077,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,3,3,3,1,9,2,0,384,1428,turbidity,,,,
2104/5/32 (Monday) 30:34:48,999,255,9,LED Status,LED Intensity,6,129,129065,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,3,3,4,1,8,1,0,384,1426,turbidity,,,,
2104/5/32 (Monday) 30:34:52,999,255,9,LED Status,LED Intensity,6,133,133053,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,3,3,4,0,10,1,0,383,1424,turbidity,,,,
Date and Time,ASTEP,ATIME,GAIN,LED Status,LED Intensity,Test,Seconds,Milliseconds,Type,F1 (Basic),F2 (Basic),F3 (Basic),F4 (Basic),F5 (Basic),F6 (Basic),F7 (Basic),F8 (Basic),Clear (Basic),NIR (Basic),Type,F1 (Raw),F2 (Raw),F3 (Raw),F4 (Raw),F5 (Raw),F6 (Raw),F7 (Raw),F8 (Raw),Clear (Raw),NIR (Raw),Measurement Type,,,,
2104/5/32 (Monday) 30:38:7,999,255,9,LED Status,LED Intensity,6,4,4404,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,139,563,60,21,26,32,321,714,1124,14,chlorophyll a,,693.75,0.5,693.25
2104/5/32 (Monday) 30:38:11,999,255,9,LED Status,LED Intensity,6,8,8395,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,136,561,58,21,27,31,318,708,1114,12,chlorophyll a,,,,
2104/5/32 (Monday) 30:38:15,999,255,9,LED Status,LED Intensity,6,12,12383,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,136,563,59,20,26,31,317,703,1112,12,chlorophyll a,,,,
2104/5/32 (Monday) 30:38:19,999,255,9,LED Status,LED Intensity,6,16,16373,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,136,562,60,22,25,31,315,700,1109,12,chlorophyll a,,,,
2104/5/32 (Monday) 30:38:23,999,255,9,LED Status,LED Intensity,6,20,20362,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,135,561,60,22,26,31,314,696,1104,14,chlorophyll a,,,,
2104/5/32 (Monday) 30:38:27,999,255,9,LED Status,LED Intensity,6,24,24351,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,134,560,59,22,25,31,314,696,1103,10,chlorophyll a,,,,
2104/5/32 (Monday) 30:38:31,999,255,9,LED Status,LED Intensity,6,28,28341,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,133,559,59,21,26,30,313,692,1099,12,chlorophyll a,,,,
2104/5/32 (Monday) 30:38:35,999,255,9,LED Status,LED Intensity,6,32,32330,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,134,557,60,22,26,31,312,691,1099,10,chlorophyll a,,,,
2104/5/32 (Monday) 30:38:39,999,255,9,LED Status,LED Intensity,6,36,36321,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,133,559,60,22,24,30,312,691,1098,10,chlorophyll a,,,,
2104/5/32 (Monday) 30:38:43,999,255,9,LED Status,LED Intensity,6,40,40310,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,133,558,60,22,26,30,312,689,1098,10,chlorophyll a,,,,
2104/5/32 (Monday) 30:38:47,999,255,9,LED Status,LED Intensity,6,44,44299,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,133,558,60,22,26,30,311,688,1097,12,chlorophyll a,,,,
2104/5/32 (Monday) 30:38:51,999,255,9,LED Status,LED Intensity,6,48,48289,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,133,559,60,22,25,30,310,687,1097,12,chlorophyll a,,,,
2104/5/32 (Monday) 30:38:55,999,255,9,LED Status,LED Intensity,6,52,52277,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,135,563,61,23,26,31,310,687,1100,10,chlorophyll a,,,,
2104/5/32 (Monday) 30:38:59,999,255,9,LED Status,LED Intensity,6,56,56267,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,135,564,60,22,24,30,311,688,1100,12,chlorophyll a,,,,
2104/5/32 (Monday) 30:39:3,999,255,9,LED Status,LED Intensity,6,60,60255,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,133,562,60,22,24,30,308,687,1099,10,chlorophyll a,,,,
2104/5/32 (Monday) 30:39:7,999,255,9,LED Status,LED Intensity,6,64,64243,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,134,565,60,22,25,29,308,683,1096,12,chlorophyll a,,,,
2104/5/32 (Monday) 30:39:16,999,255,9,LED Status,LED Intensity,6,73,73232,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,1,4,3,5,1,12,2,1,427,1530,turbidity,,,,
2104/5/32 (Monday) 30:39:20,999,255,9,LED Status,LED Intensity,6,77,77222,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,2,5,4,3,1,11,2,1,416,1506,turbidity,,,,
2104/5/32 (Monday) 30:39:24,999,255,9,LED Status,LED Intensity,6,81,81210,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,1,5,3,4,1,11,2,0,413,1504,turbidity,,,,
2104/5/32 (Monday) 30:39:28,999,255,9,LED Status,LED Intensity,6,85,85200,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,1,5,3,5,2,10,1,1,413,1504,turbidity,,,,
2104/5/32 (Monday) 30:39:32,999,255,9,LED Status,LED Intensity,6,89,89188,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,2,4,3,4,2,10,2,1,411,1496,turbidity,,,,
2104/5/32 (Monday) 30:39:36,999,255,9,LED Status,LED Intensity,6,93,93176,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,1,4,3,4,1,10,0,0,412,1496,turbidity,,,,
2104/5/32 (Monday) 30:39:40,999,255,9,LED Status,LED Intensity,6,97,97164,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,4,3,3,2,12,1,0,407,1488,turbidity,,,,
2104/5/32 (Monday) 30:39:44,999,255,9,LED Status,LED Intensity,6,101,101153,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,1,3,3,4,1,10,0,0,409,1496,turbidity,,,,
2104/5/32 (Monday) 30:39:48,999,255,9,LED Status,LED Intensity,6,105,105142,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,1,4,4,5,1,10,2,1,410,1494,turbidity,,,,
2104/5/32 (Monday) 30:39:52,999,255,9,LED Status,LED Intensity,6,109,109130,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,1,3,3,4,2,10,1,1,409,1498,turbidity,,,,
2104/5/32 (Monday) 30:39:55,999,255,9,LED Status,LED Intensity,6,113,113118,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,1,3,3,4,1,11,2,1,410,1494,turbidity,,,,
2104/5/32 (Monday) 30:39:59,999,255,9,LED Status,LED Intensity,6,117,117108,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,2,3,3,3,1,11,2,0,409,1490,turbidity,,,,
2104/5/32 (Monday) 30:40:3,999,255,9,LED Status,LED Intensity,6,121,121096,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,1,3,2,3,1,10,2,0,407,1486,turbidity,,,,
2104/5/32 (Monday) 30:40:7,999,255,9,LED Status,LED Intensity,6,125,125084,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,1,3,3,4,1,10,1,1,408,1486,turbidity,,,,
2104/5/32 (Monday) 30:40:11,999,255,9,LED Status,LED Intensity,6,129,129074,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,1,3,4,4,2,10,1,0,407,1488,turbidity,,,,
2104/5/32 (Monday) 30:40:15,999,255,9,LED Status,LED Intensity,6,133,133063,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,1,3,3,5,0,10,1,0,408,1490,turbidity,,,,
Date and Time,ASTEP,ATIME,GAIN,LED Status,LED Intensity,Test,Seconds,Milliseconds,Type,F1 (Basic),F2 (Basic),F3 (Basic),F4 (Basic),F5 (Basic),F6 (Basic),F7 (Basic),F8 (Basic),Clear (Basic),NIR (Basic),Type,F1 (Raw),F2 (Raw),F3 (Raw),F4 (Raw),F5 (Raw),F6 (Raw),F7 (Raw),F8 (Raw),Clear (Raw),NIR (Raw),Measurement Type,,,,
2104/5/32 (Monday) 30:43:58,999,255,9,LED Status,LED Intensity,6,4,4567,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,148,585,64,26,33,36,407,907,1302,22,chlorophyll a,,887.375,0.125,887.25
2104/5/32 (Monday) 30:44:2,999,255,9,LED Status,LED Intensity,6,8,8557,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,146,585,65,26,32,38,403,899,1296,22,chlorophyll a,,,,
2104/5/32 (Monday) 30:44:6,999,255,9,LED Status,LED Intensity,6,12,12546,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,146,585,65,26,32,37,401,895,1293,20,chlorophyll a,,,,
2104/5/32 (Monday) 30:44:10,999,255,9,LED Status,LED Intensity,6,16,16534,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,144,582,65,25,31,36,399,891,1285,20,chlorophyll a,,,,
2104/5/32 (Monday) 30:44:14,999,255,9,LED Status,LED Intensity,6,20,20523,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,143,578,65,25,32,36,398,887,1279,20,chlorophyll a,,,,
2104/5/32 (Monday) 30:44:18,999,255,9,LED Status,LED Intensity,6,24,24511,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,142,579,64,24,31,36,398,886,1281,20,chlorophyll a,,,,
2104/5/32 (Monday) 30:44:22,999,255,9,LED Status,LED Intensity,6,28,28500,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,142,580,65,24,32,36,398,884,1277,20,chlorophyll a,,,,
2104/5/32 (Monday) 30:44:26,999,255,9,LED Status,LED Intensity,6,32,32488,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,145,589,66,24,31,36,396,885,1289,20,chlorophyll a,,,,
2104/5/32 (Monday) 30:44:30,999,255,9,LED Status,LED Intensity,6,36,36476,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,143,583,66,23,32,36,397,885,1278,20,chlorophyll a,,,,
2104/5/32 (Monday) 30:44:34,999,255,9,LED Status,LED Intensity,6,40,40465,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,142,578,66,25,31,36,396,883,1277,20,chlorophyll a,,,,
2104/5/32 (Monday) 30:44:38,999,255,9,LED Status,LED Intensity,6,44,44452,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,142,578,65,24,32,37,396,882,1274,20,chlorophyll a,,,,
2104/5/32 (Monday) 30:44:42,999,255,9,LED Status,LED Intensity,6,48,48441,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,141,579,66,25,32,36,397,883,1272,20,chlorophyll a,,,,
2104/5/32 (Monday) 30:44:46,999,255,9,LED Status,LED Intensity,6,52,52429,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,142,579,64,25,31,35,398,883,1275,20,chlorophyll a,,,,
2104/5/32 (Monday) 30:44:50,999,255,9,LED Status,LED Intensity,6,56,56418,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,141,578,64,24,31,37,397,884,1272,20,chlorophyll a,,,,
2104/5/32 (Monday) 30:44:54,999,255,9,LED Status,LED Intensity,6,60,60406,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,141,577,65,26,30,37,395,883,1271,20,chlorophyll a,,,,
2104/5/32 (Monday) 30:44:58,999,255,9,LED Status,LED Intensity,6,64,64395,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,140,578,65,25,31,37,397,881,1274,20,chlorophyll a,,,,
2104/5/32 (Monday) 30:45:7,999,255,9,LED Status,LED Intensity,6,73,73383,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,4,4,4,1,10,1,0,389,1410,turbidity,,,,
2104/5/32 (Monday) 30:45:11,999,255,9,LED Status,LED Intensity,6,77,77372,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,3,3,3,0,9,0,0,386,1412,turbidity,,,,
2104/5/32 (Monday) 30:45:15,999,255,9,LED Status,LED Intensity,6,81,81360,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,3,2,3,1,9,1,0,385,1408,turbidity,,,,
2104/5/32 (Monday) 30:45:19,999,255,9,LED Status,LED Intensity,6,85,85348,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,3,2,2,0,10,1,0,380,1398,turbidity,,,,
2104/5/32 (Monday) 30:45:23,999,255,9,LED Status,LED Intensity,6,89,89336,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,1,2,3,0,10,1,0,382,1408,turbidity,,,,
2104/5/32 (Monday) 30:45:27,999,255,9,LED Status,LED Intensity,6,93,93325,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,4,2,4,1,9,1,0,379,1398,turbidity,,,,
2104/5/32 (Monday) 30:45:31,999,255,9,LED Status,LED Intensity,6,97,97314,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,3,2,3,1,10,2,0,379,1396,turbidity,,,,
2104/5/32 (Monday) 30:45:35,999,255,9,LED Status,LED Intensity,6,101,101303,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,1,2,2,4,0,9,1,0,380,1398,turbidity,,,,
2104/5/32 (Monday) 30:45:39,999,255,9,LED Status,LED Intensity,6,105,105292,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,1,4,3,4,1,9,0,0,390,1434,turbidity,,,,
2104/5/32 (Monday) 30:45:43,999,255,9,LED Status,LED Intensity,6,109,109282,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,2,2,2,0,10,2,0,384,1412,turbidity,,,,
2104/5/32 (Monday) 30:45:47,999,255,9,LED Status,LED Intensity,6,113,113272,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,1,2,4,1,10,1,1,383,1424,turbidity,,,,
2104/5/32 (Monday) 30:45:51,999,255,9,LED Status,LED Intensity,6,117,117260,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,4,2,2,1,9,0,0,385,1420,turbidity,,,,
2104/5/32 (Monday) 30:45:55,999,255,9,LED Status,LED Intensity,6,121,121250,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,1,2,2,3,0,9,1,0,381,1402,turbidity,,,,
2104/5/32 (Monday) 30:45:59,999,255,9,LED Status,LED Intensity,6,125,125237,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,4,3,2,0,9,2,0,378,1394,turbidity,,,,
2104/5/32 (Monday) 30:46:3,999,255,9,LED Status,LED Intensity,6,129,129228,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,1,4,3,3,0,8,1,0,380,1404,turbidity,,,,
2104/5/32 (Monday) 30:46:7,999,255,9,LED Status,LED Intensity,6,133,133217,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,3,2,3,1,9,1,1,381,1406,turbidity,,,,
