Date and Time,ASTEP,ATIME,GAIN,LED Status,LED Intensity,Test,Seconds,Milliseconds,Type,F1 (Basic),F2 (Basic),F3 (Basic),F4 (Basic),F5 (Basic),F6 (Basic),F7 (Basic),F8 (Basic),Clear (Basic),NIR (Basic),Type,F1 (Raw),F2 (Raw),F3 (Raw),F4 (Raw),F5 (Raw),F6 (Raw),F7 (Raw),F8 (Raw),Clear (Raw),NIR (Raw),Measurement Type,,Average,Blank,,,
2104/5/32 (Monday) 30:34:31,999,255,9,LED Status,LED Intensity,6,36,36218,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,107,522,48,7,7,12,82,167,593,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:34:35,999,255,9,LED Status,LED Intensity,6,40,40207,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,107,522,48,8,6,10,81,168,590,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:34:39,999,255,9,LED Status,LED Intensity,6,44,44196,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,106,521,48,8,7,11,83,167,590,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:34:43,999,255,9,LED Status,LED Intensity,6,48,48182,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,107,520,48,7,5,10,81,168,589,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:34:47,999,255,9,LED Status,LED Intensity,6,52,52170,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,105,518,48,9,6,11,81,168,589,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:34:51,999,255,9,LED Status,LED Intensity,6,56,56159,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,106,518,48,8,5,10,83,168,587,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:34:55,999,255,9,LED Status,LED Intensity,6,60,60147,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,106,522,48,6,7,10,82,167,590,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:34:59,999,255,9,LED Status,LED Intensity,6,64,64134,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,105,520,48,9,5,11,81,167,588,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:35:8,999,255,9,LED Status,LED Intensity,6,73,73123,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,0,1,0,5,0,0,294,1152,turbidity,,,,,,
2104/5/32 (Monday) 30:35:12,999,255,9,LED Status,LED Intensity,6,77,77109,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,2,0,1,0,6,0,0,291,1150,turbidity,,,,,,
2104/5/32 (Monday) 30:35:16,999,255,9,LED Status,LED Intensity,6,81,81098,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,1,0,0,6,0,0,292,1152,turbidity,,,,,,
2104/5/32 (Monday) 30:35:20,999,255,9,LED Status,LED Intensity,6,85,85086,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,0,0,0,6,0,0,291,1150,turbidity,,,,,,
2104/5/32 (Monday) 30:35:24,999,255,9,LED Status,LED Intensity,6,89,89074,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,0,1,0,5,0,0,289,1144,turbidity,,,,,,
2104/5/32 (Monday) 30:35:28,999,255,9,LED Status,LED Intensity,6,93,93063,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,0,0,0,6,0,0,290,1144,turbidity,,,,,,
2104/5/32 (Monday) 30:35:32,999,255,9,LED Status,LED Intensity,6,97,97052,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,0,0,0,5,0,0,287,1146,turbidity,,,,,,
2104/5/32 (Monday) 30:35:36,999,255,9,LED Status,LED Intensity,6,101,101037,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,1,0,0,5,0,0,290,1146,turbidity,,,,,,
2104/5/32 (Monday) 30:35:40,999,255,9,LED Status,LED Intensity,6,105,105026,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,0,0,0,5,0,0,287,1142,turbidity,,,,,,
2104/5/32 (Monday) 30:35:44,999,255,9,LED Status,LED Intensity,6,109,109012,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,1,0,1,0,6,0,0,289,1142,turbidity,,,,,,
2104/5/32 (Monday) 30:35:48,999,255,9,LED Status,LED Intensity,6,113,113000,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,0,0,0,5,0,0,288,1144,turbidity,,,,,,
2104/5/32 (Monday) 30:35:52,999,255,9,LED Status,LED Intensity,6,116,116986,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,0,2,0,6,0,0,286,1144,turbidity,,,,,,
2104/5/32 (Monday) 30:35:56,999,255,9,LED Status,LED Intensity,6,120,120973,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,0,0,0,5,0,0,289,1144,turbidity,,,,,,
2104/5/32 (Monday) 30:36:0,999,255,9,LED Status,LED Intensity,6,124,124961,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,0,0,0,6,0,0,289,1148,turbidity,,,,,,
2104/5/32 (Monday) 30:36:4,999,255,9,LED Status,LED Intensity,6,128,128949,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,1,0,0,5,0,0,288,1146,turbidity,,,,,,
2104/5/32 (Monday) 30:36:8,999,255,9,LED Status,LED Intensity,6,132,132936,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,1,0,0,5,0,0,288,1144,turbidity,,,,,,
Date and Time,ASTEP,ATIME,GAIN,LED Status,LED Intensity,Test,Seconds,Milliseconds,Type,F1 (Basic),F2 (Basic),F3 (Basic),F4 (Basic),F5 (Basic),F6 (Basic),F7 (Basic),F8 (Basic),Clear (Basic),NIR (Basic),Type,F1 (Raw),F2 (Raw),F3 (Raw),F4 (Raw),F5 (Raw),F6 (Raw),F7 (Raw),F8 (Raw),Clear (Raw),NIR (Raw),Measurement Type,,Average,CS4,,,
2104/5/32 (Monday) 30:38:9,999,255,9,LED Status,LED Intensity,6,4,4316,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,113,521,50,11,14,18,188,403,793,0,chlorophyll a,,386.5,,,,
2104/5/32 (Monday) 30:38:13,999,255,9,LED Status,LED Intensity,6,8,8304,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,112,520,51,11,12,17,185,399,788,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:38:17,999,255,9,LED Status,LED Intensity,6,12,12289,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,110,520,52,10,12,17,184,396,785,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:38:21,999,255,9,LED Status,LED Intensity,6,16,16276,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,110,520,52,11,12,18,183,394,783,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:38:25,999,255,9,LED Status,LED Intensity,6,20,20265,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,110,520,51,11,12,17,181,391,781,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:38:29,999,255,9,LED Status,LED Intensity,6,24,24253,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,111,524,53,11,12,17,180,389,784,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:38:33,999,255,9,LED Status,LED Intensity,6,28,28242,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,112,526,52,10,12,16,180,388,783,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:38:37,999,255,9,LED Status,LED Intensity,6,32,32230,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,111,524,53,10,12,17,181,386,780,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:38:41,999,255,9,LED Status,LED Intensity,6,36,36217,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,110,523,52,10,12,17,179,384,777,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:38:45,999,255,9,LED Status,LED Intensity,6,40,40205,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,110,520,52,10,12,18,177,383,773,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:38:49,999,255,9,LED Status,LED Intensity,6,44,44192,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,109,518,53,10,12,17,179,381,769,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:38:53,999,255,9,LED Status,LED Intensity,6,48,48178,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,108,519,51,10,12,18,177,380,769,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:38:57,999,255,9,LED Status,LED Intensity,6,52,52165,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,109,521,51,10,13,17,175,378,769,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:39:1,999,255,9,LED Status,LED Intensity,6,56,56151,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,109,521,52,11,11,17,175,379,770,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:39:5,999,255,9,LED Status,LED Intensity,6,60,60138,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,109,521,53,9,11,17,174,378,769,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:39:9,999,255,9,LED Status,LED Intensity,6,64,64126,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,110,521,51,10,12,17,173,375,768,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:39:18,999,255,9,LED Status,LED Intensity,6,73,73121,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,1,0,0,0,5,0,0,296,1159,turbidity,,,,,,
2104/5/32 (Monday) 30:39:22,999,255,9,LED Status,LED Intensity,6,77,77109,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,0,0,0,6,0,0,292,1154,turbidity,,,,,,
2104/5/32 (Monday) 30:39:26,999,255,9,LED Status,LED Intensity,6,81,81096,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,1,0,0,0,5,0,0,292,1154,turbidity,,,,,,
2104/5/32 (Monday) 30:39:29,999,255,9,LED Status,LED Intensity,6,85,85083,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,0,0,0,5,0,0,290,1152,turbidity,,,,,,
2104/5/32 (Monday) 30:39:33,999,255,9,LED Status,LED Intensity,6,89,89070,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,0,0,0,5,0,0,291,1152,turbidity,,,,,,
2104/5/32 (Monday) 30:39:37,999,255,9,LED Status,LED Intensity,6,93,93057,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,0,1,0,6,0,0,290,1150,turbidity,,,,,,
2104/5/32 (Monday) 30:39:41,999,255,9,LED Status,LED Intensity,6,97,97045,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,1,0,0,0,4,0,0,290,1150,turbidity,,,,,,
2104/5/32 (Monday) 30:39:45,999,255,9,LED Status,LED Intensity,6,101,101032,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,0,0,0,5,0,0,289,1150,turbidity,,,,,,
2104/5/32 (Monday) 30:39:49,999,255,9,LED Status,LED Intensity,6,105,105019,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,0,1,0,6,0,0,291,1150,turbidity,,,,,,
2104/5/32 (Monday) 30:39:53,999,255,9,LED Status,LED Intensity,6,109,109006,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,0,0,0,6,0,0,291,1154,turbidity,,,,,,
2104/5/32 (Monday) 30:39:57,999,255,9,LED Status,LED Intensity,6,112,112994,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,0,0,0,6,0,0,289,1154,turbidity,,,,,,
2104/5/32 (Monday) 30:40:1,999,255,9,LED Status,LED Intensity,6,116,116982,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,1,0,0,0,5,0,0,289,1152,turbidity,,,,,,
2104/5/32 (Monday) 30:40:5,999,255,9,LED Status,LED Intensity,6,120,120968,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,0,0,0,6,0,0,288,1150,turbidity,,,,,,
2104/5/32 (Monday) 30:40:9,999,255,9,LED Status,LED Intensity,6,124,124955,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,0,1,0,5,0,0,288,1150,turbidity,,,,,,
2104/5/32 (Monday) 30:40:13,999,255,9,LED Status,LED Intensity,6,128,128942,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,1,0,1,0,6,0,0,287,1150,turbidity,,,,,,
2104/5/32 (Monday) 30:40:17,999,255,9,LED Status,LED Intensity,6,132,132930,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,1,0,1,0,5,0,0,288,1148,turbidity,,,,,,
Date and Time,ASTEP,ATIME,GAIN,LED Status,LED Intensity,Test,Seconds,Milliseconds,Type,F1 (Basic),F2 (Basic),F3 (Basic),F4 (Basic),F5 (Basic),F6 (Basic),F7 (Basic),F8 (Basic),Clear (Basic),NIR (Basic),Type,F1 (Raw),F2 (Raw),F3 (Raw),F4 (Raw),F5 (Raw),F6 (Raw),F7 (Raw),F8 (Raw),Clear (Raw),NIR (Raw),Measurement Type,,Average,CS5,,,
2104/5/32 (Monday) 30:42:16,999,255,9,LED Status,LED Intensity,6,4,4299,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,113,506,55,16,22,28,358,778,1095,16,chlorophyll a,,763.4375,,,,
2104/5/32 (Monday) 30:42:20,999,255,9,LED Status,LED Intensity,6,8,8288,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,111,500,55,18,22,28,357,773,1089,14,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:42:24,999,255,9,LED Status,LED Intensity,6,12,12279,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,112,504,56,15,23,28,356,771,1089,14,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:42:28,999,255,9,LED Status,LED Intensity,6,16,16266,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,111,505,57,16,23,28,355,767,1091,12,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:42:32,999,255,9,LED Status,LED Intensity,6,20,20255,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,112,506,56,18,24,28,354,769,1089,16,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:42:36,999,255,9,LED Status,LED Intensity,6,24,24243,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,111,505,55,17,23,27,354,767,1083,14,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:42:40,999,255,9,LED Status,LED Intensity,6,28,28230,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,110,506,57,16,22,28,351,764,1085,14,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:42:44,999,255,9,LED Status,LED Intensity,6,32,32219,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,110,502,55,16,23,28,351,761,1081,16,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:42:48,999,255,9,LED Status,LED Intensity,6,36,36206,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,109,499,56,16,23,27,351,762,1078,14,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:42:52,999,255,9,LED Status,LED Intensity,6,40,40195,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,110,502,57,15,24,28,349,761,1077,16,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:42:56,999,255,9,LED Status,LED Intensity,6,44,44183,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,110,505,57,15,22,28,350,759,1079,14,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:43:0,999,255,9,LED Status,LED Intensity,6,48,48170,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,109,503,56,16,23,27,349,759,1077,14,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:43:4,999,255,9,LED Status,LED Intensity,6,52,52159,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,110,507,56,15,22,28,349,757,1081,14,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:43:8,999,255,9,LED Status,LED Intensity,6,56,56147,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,110,506,56,16,22,27,350,756,1079,14,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:43:12,999,255,9,LED Status,LED Intensity,6,60,60137,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,110,505,57,16,22,28,350,755,1078,14,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:43:16,999,255,9,LED Status,LED Intensity,6,64,64127,BASIC COUNTS,0,0,0,0,0,0,0,0,0.01,0,RAW VALUES,109,505,56,16,23,28,348,756,1078,14,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:43:25,999,255,9,LED Status,LED Intensity,6,73,73115,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,1,1,0,0,6,0,0,299,1176,turbidity,,,,,,
2104/5/32 (Monday) 30:43:29,999,255,9,LED Status,LED Intensity,6,77,77103,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,0,2,0,6,0,0,295,1172,turbidity,,,,,,
2104/5/32 (Monday) 30:43:33,999,255,9,LED Status,LED Intensity,6,81,81090,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,1,1,0,0,5,0,0,295,1172,turbidity,,,,,,
2104/5/32 (Monday) 30:43:37,999,255,9,LED Status,LED Intensity,6,85,85078,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,1,1,1,0,5,0,0,295,1172,turbidity,,,,,,
2104/5/32 (Monday) 30:43:41,999,255,9,LED Status,LED Intensity,6,89,89066,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,0,0,0,6,0,0,294,1174,turbidity,,,,,,
2104/5/32 (Monday) 30:43:45,999,255,9,LED Status,LED Intensity,6,93,93055,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,0,1,0,6,0,0,296,1176,turbidity,,,,,,
2104/5/32 (Monday) 30:43:49,999,255,9,LED Status,LED Intensity,6,97,97043,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,0,0,0,6,0,0,293,1172,turbidity,,,,,,
2104/5/32 (Monday) 30:43:53,999,255,9,LED Status,LED Intensity,6,101,101033,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,0,1,0,7,0,0,294,1170,turbidity,,,,,,
2104/5/32 (Monday) 30:43:57,999,255,9,LED Status,LED Intensity,6,105,105021,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,1,0,0,6,0,0,293,1172,turbidity,,,,,,
2104/5/32 (Monday) 30:44:1,999,255,9,LED Status,LED Intensity,6,109,109010,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,1,0,1,0,5,0,0,291,1166,turbidity,,,,,,
2104/5/32 (Monday) 30:44:5,999,255,9,LED Status,LED Intensity,6,112,112998,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,0,0,0,6,0,0,293,1172,turbidity,,,,,,
2104/5/32 (Monday) 30:44:9,999,255,9,LED Status,LED Intensity,6,116,116985,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,0,0,0,7,0,0,292,1166,turbidity,,,,,,
2104/5/32 (Monday) 30:44:13,999,255,9,LED Status,LED Intensity,6,120,120974,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,1,0,0,0,5,0,0,292,1168,turbidity,,,,,,
2104/5/32 (Monday) 30:44:17,999,255,9,LED Status,LED Intensity,6,124,124961,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,2,0,1,0,6,0,0,293,1170,turbidity,,,,,,
2104/5/32 (Monday) 30:44:21,999,255,9,LED Status,LED Intensity,6,128,128950,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,2,1,0,0,6,0,0,297,1182,turbidity,,,,,,
2104/5/32 (Monday) 30:44:25,999,255,9,LED Status,LED Intensity,6,132,132939,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,0,0,0,5,0,0,292,1166,turbidity,,,,,,
